0.000 24.298 0.086 0.169 52.971 0.000 5.841 0.002 17.313 17.670 
24.298 0.000 0.006 1.382 0.020 0.254 59.174 12.903 14.715 5.596 
0.086 0.006 0.000 51.888 55.072 0.000 1.402 0.000 9.822 0.074 
0.169 1.382 51.888 0.000 0.000 59.174 0.003 0.000 0.002 5.731 
52.971 0.020 55.072 0.000 0.000 0.000 2.550 0.000 0.010 7.725 
0.000 0.254 0.000 59.174 0.000 0.000 0.000 50.001 0.001 8.919 
5.841 59.174 1.402 0.003 2.550 0.000 0.000 37.024 3.345 9.009 
0.002 12.903 0.000 0.000 0.000 50.001 37.024 0.000 13.967 4.451 
17.313 14.715 9.822 0.002 0.010 0.001 3.345 13.967 0.000 59.174 
17.670 5.596 0.074 5.731 7.725 8.919 9.009 4.451 59.174 0.000 

